doc_id,dominant_topic,confidence
923,5,0.85489225
924,0,0.96481615
925,5,0.95817876
926,6,0.42781404
927,3,0.76099235
928,0,0.4913041
929,6,0.95442426
930,3,0.5090723
931,2,0.98393947
932,3,0.6454487
933,2,0.88762057
934,6,0.8471985
935,2,0.9673808
936,3,0.98349965
937,3,0.66124177
938,0,0.52518344
939,0,0.8573278
940,6,0.69780105
941,0,0.958719
942,2,0.9649772
943,2,0.83499736
944,2,0.9649777
945,0,0.96481663
946,7,0.49186483
947,6,0.73779255
948,2,0.98212236
949,6,0.9645172
950,5,0.86057657
951,7,0.96089125
952,3,0.56170326
953,2,0.97984415
954,4,0.745571
955,3,0.9152808
956,2,0.9673856
957,0,0.8908482
958,5,0.8609758
959,3,0.84204966
960,6,0.9645185
961,0,0.9648167
962,0,0.8324442
963,0,0.83183455
964,2,0.9649775
965,1,0.4694042
966,0,0.96200967
967,3,0.47233054
968,0,0.43760255
969,3,0.54247427
970,6,0.9645181
971,3,0.6092614
972,3,0.63721275
973,3,0.9828273
974,5,0.9581792
975,5,0.958179
976,4,0.6822286
977,1,0.9635549
978,5,0.888565
979,5,0.9542137
980,0,0.9587214
981,2,0.9839403
982,0,0.96200895
983,5,0.9615127
984,2,0.91615146
985,7,0.8734854
986,0,0.964817
987,3,0.7533674
988,4,0.8001522
989,2,0.98277354
990,3,0.7049474
991,6,0.5441272
992,3,0.62270004
993,3,0.8296344
994,3,0.6314072
995,4,0.9579579
996,2,0.967384
997,7,0.95347196
998,3,0.6203347
999,3,0.8396486
1000,2,0.9814226
1001,0,0.72935635
1002,1,0.9606545
1003,6,0.9616897
1004,2,0.8020656
1005,3,0.67322296
1006,3,0.6051089
1007,7,0.8287605
1008,5,0.8787186
1009,6,0.84459615
1010,5,0.9615122
1011,1,0.8438699
1012,6,0.4946012
1013,3,0.7074688
1014,0,0.73602915
1015,0,0.8414283
1016,5,0.71749973
1017,2,0.9673861
1018,3,0.9828273
1019,3,0.9841212
1020,1,0.9572478
1021,3,0.73591125
1022,6,0.7207911
1023,3,0.7994695
1024,4,0.8611201
1025,0,0.4964901
1026,3,0.98282737
1027,0,0.9548029
1028,6,0.9616905
1029,6,0.8754819
1030,6,0.71903354
1031,0,0.83178467
1032,3,0.9834997
1033,2,0.72480536
1034,3,0.7355854
1035,2,0.5170013
1036,3,0.6789196
1037,0,0.53970927
1038,3,0.724586
